#EEP,M/Mo,LogTeff,LogG,LogL/Lo,U,B,V,R,I,J,H,Ks,Kp,D51
108,2.531303,3.8976,3.497,1.9004,0.0956,0.0839,-0.0949,-0.2032,-0.2935,-0.4257,-0.4578,-0.4784,-0.1657,-0.0624
109,2.534286,3.8993,3.4979,1.9063,0.0761,0.0625,-0.1113,-0.2161,-0.303,-0.4316,-0.4606,-0.481,-0.1805,-0.0803
110,2.536583,3.9017,3.5025,1.9117,0.0569,0.0409,-0.1265,-0.2273,-0.3092,-0.4324,-0.4572,-0.4772,-0.1928,-0.098
111,2.538393,3.9047,3.5082,1.9174,0.0394,0.0204,-0.1407,-0.2363,-0.3125,-0.4307,-0.4508,-0.471,-0.2038,-0.1143
112,2.538642,3.905,3.5098,1.9184,0.0361,0.0164,-0.1431,-0.2379,-0.3127,-0.43,-0.4489,-0.4695,-0.2055,-0.1173
113,2.538891,3.9061,3.5119,1.9196,0.0326,0.0119,-0.1463,-0.2394,-0.3133,-0.4292,-0.447,-0.4672,-0.2079,-0.1205
114,2.53914,3.9068,3.5128,1.9207,0.0294,0.0081,-0.1489,-0.2408,-0.3133,-0.4282,-0.4446,-0.4648,-0.2102,-0.1235
115,2.539381,3.9072,3.5145,1.9218,0.026,0.0038,-0.1513,-0.2424,-0.3137,-0.4271,-0.4432,-0.463,-0.2122,-0.1265
116,2.539636,3.9079,3.516,1.9226,0.0231,-0.0002,-0.1544,-0.2439,-0.3141,-0.4261,-0.4411,-0.4608,-0.2138,-0.1296
117,2.539884,3.9084,3.518,1.9236,0.0195,-0.0041,-0.1569,-0.245,-0.3133,-0.4246,-0.438,-0.4584,-0.2157,-0.1327
118,2.540132,3.9091,3.5203,1.9249,0.0166,-0.0082,-0.1595,-0.2465,-0.3139,-0.4234,-0.4355,-0.4555,-0.2178,-0.1361
119,2.540381,3.9103,3.5219,1.9255,0.0139,-0.0125,-0.1621,-0.2479,-0.3138,-0.4222,-0.4329,-0.4528,-0.2198,-0.1395
120,2.540631,3.9108,3.5243,1.9266,0.0111,-0.0164,-0.1646,-0.2494,-0.3134,-0.4204,-0.4307,-0.4501,-0.2211,-0.1431
