#EEP,M/Mo,LogTeff,LogG,LogL/Lo,U,B,V,R,I,J,H,Ks,Kp,D51
240,2.551089,3.7049,2.8581,1.7703,2.1362,1.4602,0.5101,0.0339,-0.3909,-1.021,-1.4694,-1.5281,0.1993,0.7399
241,2.551211,3.7037,2.8329,1.7907,2.1104,1.4212,0.4644,-0.015,-0.4419,-1.0764,-1.5278,-1.5881,0.1505,0.6949
242,2.551425,3.7021,2.7992,1.8179,2.0801,1.3704,0.4038,-0.0791,-0.5091,-1.15,-1.6058,-1.6671,0.0878,0.638
243,2.551594,3.7007,2.7718,1.8401,2.0537,1.3281,0.3543,-0.1321,-0.565,-1.211,-1.6698,-1.7327,0.0355,0.5903
244,2.55194,3.6981,2.7189,1.8823,2.0095,1.25,0.2614,-0.2311,-0.6693,-1.3258,-1.7918,-1.8572,-0.063,0.5027
245,2.55209,3.6966,2.692,1.9038,1.9875,1.2109,0.2149,-0.2814,-0.7218,-1.3834,-1.8529,-1.9188,-0.112,0.458
246,2.55226,3.6952,2.6628,1.9273,1.9637,1.1675,0.1635,-0.3363,-0.7799,-1.4476,-1.9205,-1.9881,-0.1665,0.4094
247,2.552425,3.6934,2.6358,1.9488,1.9422,1.1278,0.116,-0.3866,-0.8332,-1.5061,-1.9817,-2.0511,-0.2163,0.3644
248,2.552656,3.6913,2.5986,1.9776,1.9177,1.0766,0.0545,-0.4525,-0.9041,-1.5843,-2.065,-2.1357,-0.2822,0.3067
249,2.552966,3.689,2.5511,2.0146,1.8866,1.0106,-0.0246,-0.5389,-0.9951,-1.6859,-2.1733,-2.2459,-0.3668,0.2333
250,2.553148,3.6873,2.5222,2.0372,1.8688,0.9712,-0.0727,-0.5902,-1.0503,-1.7481,-2.2381,-2.3127,-0.4177,0.1886
251,2.553362,3.6851,2.4849,2.0665,1.8431,0.9193,-0.1352,-0.658,-1.122,-1.8276,-2.3233,-2.3996,-0.4848,0.1296
252,2.553574,3.683,2.4492,2.0941,1.8232,0.872,-0.1926,-0.7206,-1.1887,-1.9028,-2.4031,-2.481,-0.5464,0.0767
253,2.55378,3.6812,2.4126,2.1225,1.8023,0.8232,-0.2521,-0.7855,-1.2586,-1.9808,-2.4863,-2.5665,-0.6109,0.0214
254,2.553971,3.6791,2.3767,2.1506,1.7813,0.7751,-0.3113,-0.8496,-1.3271,-2.0564,-2.5677,-2.6496,-0.6742,-0.0323
255,2.554213,3.6766,2.3338,2.1839,1.7597,0.7195,-0.38,-0.9254,-1.4078,-2.1473,-2.6647,-2.7487,-0.7487,-0.0951
256,2.554368,3.6752,2.3036,2.2074,1.7448,0.6801,-0.4284,-0.9788,-1.4648,-2.2112,-2.7341,-2.8197,-0.8014,-0.1392
257,2.554655,3.6727,2.2548,2.2449,1.7221,0.6183,-0.5053,-1.0636,-1.5563,-2.314,-2.8444,-2.9325,-0.8849,-0.209
258,2.554856,3.6702,2.218,2.2732,1.7083,0.5739,-0.5617,-1.1263,-1.6241,-2.3905,-2.9276,-3.0171,-0.9469,-0.2593
259,2.555016,3.6685,2.1855,2.2986,1.6962,0.5332,-0.613,-1.183,-1.6852,-2.4604,-3.0022,-3.0944,-1.003,-0.3048
260,2.555188,3.6661,2.1508,2.325,1.6861,0.4933,-0.6652,-1.2416,-1.7487,-2.5328,-3.0812,-3.1752,-1.0607,-0.3511
261,2.555411,3.6636,2.1088,2.3567,1.6758,0.4456,-0.7267,-1.311,-1.8244,-2.6184,-3.1746,-3.2715,-1.129,-0.4038
262,2.555522,3.6624,2.0837,2.375,1.6727,0.4201,-0.7621,-1.3511,-1.8688,-2.6697,-3.2301,-3.3287,-1.1686,-0.434
263,2.555755,3.6596,2.0394,2.4092,1.6593,0.3679,-0.8283,-1.4258,-1.9503,-2.7629,-3.331,-3.4325,-1.2427,-0.4919
264,2.555898,3.6576,2.0078,2.4334,1.6492,0.3313,-0.8754,-1.4786,-2.0079,-2.8274,-3.4015,-3.5048,-1.2952,-0.5326
265,2.556007,3.6562,1.9801,2.4546,1.6396,0.2979,-0.9176,-1.5258,-2.059,-2.8855,-3.4637,-3.5689,-1.3415,-0.5698
266,2.556163,3.6544,1.9434,2.483,1.6252,0.2532,-0.974,-1.5888,-2.127,-2.9624,-3.547,-3.6538,-1.4033,-0.6194
267,2.556321,3.6518,1.9055,2.5122,1.617,0.2115,-1.0288,-1.651,-2.1956,-3.0407,-3.6321,-3.7425,-1.4657,-0.6662
268,2.556504,3.6489,1.8608,2.5451,1.6154,0.1678,-1.0884,-1.7204,-2.274,-3.1313,-3.7312,-3.8446,-1.5343,-0.7147
269,2.556689,3.6458,1.8125,2.58,1.6214,0.1259,-1.1484,-1.7914,-2.3554,-3.2269,-3.8372,-3.9546,-1.6048,-0.7622
270,2.556868,3.6417,1.7605,2.6162,1.6344,0.0859,-1.2089,-1.8646,-2.4405,-3.3279,-3.95,-4.0717,-1.677,-0.808
271,2.55687,3.6387,1.7269,2.6388,1.6544,0.0671,-1.2416,-1.907,-2.4905,-3.3908,-4.0213,-4.146,-1.7188,-0.8299
272,2.557063,3.6347,1.6591,2.6889,1.6551,0.004,-1.33,-2.0102,-2.6081,-3.5277,-4.1712,-4.3021,-1.8214,-0.9011
