#,dist(asec)identifier,typcoord1(ICRS,",J2000/2000)",plx,radvel,redshift,cz,,MagU,MagB,MagV,MagR,MagG,MagI,spec.type,,#bib#,not
45,145.782MASSJ11055508-5840579,*166.4794863192146,-58.6827002,2.49,,,,,,,,,15.2927,,,,1,0
46,148.772MASSJ11052360-5843400,*166.3483143040700,-58.72783292,1.9201,3.23,0.000011,3.23,,,16.923,15.694,14.947,15.246738,14.257,,,4,0
47,151.792MASSJ11052472-5843583,*166.3530366773300,-58.73286212,2.0778,4.33,0.000014,4.33,,,14.485,13.753,13.32,13.58013,12.951,,,5,0
48,155.192MASSJ11052144-5843204,*166.3393398147900,-58.7223416,2.1167,,,,,,,,,13.590514,,,,4,0
49,156.972MASSJ11054122-5845006,*166.4218030062200,-58.75018669,2.0951,,,,,,,,,14.799347,,,,4,0
50,159.642MASSJ11055096-5840092,*166.4623715292200,-58.66921923,2.1551,3.86,0.000013,3.86,,,20.613,19.122,17.986,18.038429,16.646,,,1,0
51,159.93HD96445,*166.4947406731500,-58.7248296,2.1549,4.03,0.000013,4.03,,,8.677,7.702,7.2,7.485672,6.747,G6II-III,,27,0
52,160.00Cl*NGC3532FERN130,*166.3793394557200,-58.66668025,0.2799,-6.65,-0.000022,-6.65,,,,,,11.669519,,,,1,0
53,160.342MASSJ11060053-5842353,*166.5022046721200,-58.70981208,2.0947,7.11,0.000024,7.11,,,17.511,16.215,15.426,15.725542,14.738,,,5,0
54,160.91Cl*NGC3532FERN123,*166.4223649305200,-58.6620665,0.3069,2.06,0.000007,2.06,,,,,,12.616363,,,,1,0
55,161.25CPD-583085,*166.4780788684200,-58.67523541,2.0554,82.64,0.000276,82.65,,,9.149,9.107,9.106,9.118314,9.075,,,16,0
56,161.59Cl*NGC3532FERN15,*166.4600867502500,-58.74548232,2.094,4.25,0.000014,4.25,,,13.209,12.654,12.306,12.545407,12.018,,,6,0
57,163.26[CLH2011b]187633,*166.4152194446300,-58.75201057,0.1567,-11.74,-0.000039,-11.74,,,17.909,16.349,15.449,15.703659,14.602,,,1,0
58,169.18[CLH2011b]201414,*166.3301841778400,-58.69288715,0.1048,3,0.00001,3,,,17.892,16.438,15.533,15.794633,14.695,,,1,0
59,170.98CPD-574238,*166.4145229966700,-58.65918608,0.4856,,,,,,10.554,10.456,10.363,10.41579,10.257,,,6,0
60,172.04[CLH2011b]202271,*166.3247988155500,-58.70408404,0.2695,-19.12,-0.000064,-19.12,,,17.594,16.159,15.361,15.630118,14.593,,,1,0
61,174.19CPD-583089,*166.4911901699500,-58.73571754,2.0765,,,,,,10.177,10.033,9.953,10.037605,9.871,A2V,,14,0
62,174.29[CLH2011b]184070,*166.4374668409500,-58.65947509,2.1456,2.67,0.000009,2.67,,,14.934,14.138,13.672,13.931221,13.267,,,5,0
63,174.792MASSJ11052739-5839595,*166.3641239767000,-58.6665193,2.145,4.14,0.000014,4.14,,,20.028,18.523,17.411,17.565344,16.157,,,2,0
64,174.942MASSJ11051842-5843126,*166.3267922888200,-58.72019302,0.5051,,,,,,,,,15.539834,,,,1,0
65,175.25Cl*NGC3532FERN120,mul166.43788300-58.,65925200,,,,,,,,,13.2,,,,,1,0
66,175.63GaiaEDR35338663903969186048,*166.4379989408500,-58.65915808,0.2545,-11.01,-0.000037,-11.01,,,,,,14.060763,,,,0,0
67,175.81NGC353283,*166.3226712888300,-58.70556599,2.0751,,,,,,,11.28,11.2,11.19174,10.99,,,9,0
68,176.442MASSJ11052559-5840079,*166.3566614488200,-58.66885826,2.0597,7.78,0.000026,7.78,,,17.689,16.458,15.659,15.825397,14.887,,,6,0
69,177.542MASSJ11055798-5844131,*166.4915745125700,-58.73699174,1.4369,,,,,,,,,12.831955,,,,1,0
70,177.622MASSJ11055999-5843495,*166.4999625809400,-58.73040639,0.4198,4.01,0.000013,4.01,,,18.046,16.653,15.886,16.163328,15.131,,,1,0
71,179.83[CLH2011b]176251,*166.4842274502500,-58.67113339,0.1682,24.86,0.000083,24.86,,,17.81,16.495,15.732,15.984729,14.998,,,1,0
72,180.80CPD-583071,*166.4074711698300,-58.75666071,2.0703,,,,,,9.935,9.848,9.794,9.879023,9.772,A1V,,19,0
73,182.85Cl*NGC3532FERN31,*166.3268348399800,-58.68663045,0.7787,-7.1,-0.000024,-7.1,,,13.792,13.228,12.865,13.079965,12.494,,,2,0
74,182.932MASSJ11055054-5839406,*166.4606040818500,-58.66127339,0.1968,-17.42,-0.000058,-17.42,,,16.637,15.369,14.657,14.931576,13.958,,,1,0
75,182.98[CLH2011b]202601,*166.3226094547700,-58.69267466,0.2837,22.14,0.000074,22.14,,,17.79,16.276,15.464,15.738318,14.726,,,1,0
76,183.31[CLH2011b]190247,*166.3992813451300,-58.65655484,0.4712,51.06,0.00017,51.06,,,17.36,16.198,15.525,15.788091,14.846,,,1,0
77,183.74GaiaEDR35338661700601863424,*166.3997011827484,-58.75693924,1.9749,,,,,,,,,17.845621,,,,2,0
78,184.59Cl*NGC3532FERN5,*166.3737058421900,-58.75283843,3.0206,24.3,0.000081,24.3,,,,,,11.54697,,,,2,0
79,184.762MASSJ11052727-5839481,mul166.36362700-58.,66337600,,,,,,,,,,,,,,1,0
80,184.77GaiaEDR35338663766530183040,*166.3635548006700,-58.66339714,1.9907,,,,,,,,,17.815901,,,,4,0
81,184.922MASSJ11051630-5842320,*166.3178573995500,-58.7088422,1.9533,,,,,,,,,18.737968,,,,1,0
82,185.24GaiaEDR35338663766501817856,*166.3641714754300,-58.66304078,0.0388,,,,,,,,,18.449488,,,,0,0
83,188.422MASSJ11053397-5839216,*166.3915770868200,-58.65597862,1.7794,,,,,,,,,14.471032,,,,1,0
84,190.23UCAC4157-058523,*166.3432825091400,-58.74328329,2.0128,3.55,0.000012,3.55,,,12.159,11.579,11.67,11.645756,,,,4,0
85,190.25HD96430,Em*166.4730054283200,-58.66267202,1.6445,,,,,,8.426,8.489,8.571,8.47304,8.589,A,,17,0
86,190.68[CLH2011b]175275,*166.4902744119400,-58.74334287,2.2543,5.43,0.000018,5.43,,,17.354,16.066,15.281,15.609609,14.626,,,1,0
87,195.37NGC353292,*166.3408369975000,-58.74402284,0.3083,19.15,0.000064,19.15,,,12.186,11.729,11.426,12.437609,11.158,,,4,0
88,196.50HD96304,*166.3288641705800,-58.67670548,2.0957,,,,,,9.592,9.536,9.52,9.547851,9.497,A0,,22,0
89,197.90CPD-583092,*166.5159959736300,-58.68773215,2.1233,4.76,0.000016,4.76,,,8.577,7.457,6.925,7.206558,6.424,G9III,,20,0
90,199.94[CLH2011b]181298,*166.4542052832400,-58.65466761,0.2274,4.77,0.000016,4.77,,,16.099,14.853,14.17,14.427224,13.469,,,1,0
91,200.11Cl*NGC3532FERN128,*166.3917730543200,-58.65260747,2.0859,,,,,,12.91,12.42,,12.339162,,,,8,0
92,200.47Cl*NGC3532FERN133,*166.3321315327900,-58.67244647,2.0747,7.9,0.000026,7.9,,,,,,12.666427,,,,7,0
93,203.662MASSJ11060098-5844253,*166.5041902477500,-58.74036542,2.4127,8.46,0.000028,8.46,,,18.441,16.957,16.03,16.404116,15.149,,,2,0
94,205.81CPD-583070,*166.4079619847100,-58.76365665,2.0929,,,,,,9.689,9.609,9.557,9.640453,9.541,,,14,0
95,206.392MASSJ11053557-5845475,*166.3982804329900,-58.76319753,2.215,,,,,,,,,17.390171,,,,2,0
96,209.662MASSJ11053445-5838589,*166.3935797327500,-58.64967843,2.0664,,,,,,,,,15.226513,,,,5,0
97,211.61GaiaEDR35338660772890918784,*166.5253009435517,-58.6902454,1.6066,,,,,,,,,17.632414,,,,1,0
98,214.23[FRP2000]28,*166.3021471586700,-58.70499545,2.0592,,,,,,,,,16.201986,,,,7,0
99,215.41Cl*NGC3532FERN135,*166.3184273914000,-58.67545558,2.095,,,,,,14.17,13.6,13.32,13.317072,,,,6,0
100,216.69[CLH2011b]171026,*166.5147540832600,-58.73875277,0.3872,-28.58,-0.000095,-28.58,,,17.289,15.967,15.222,15.50463,14.498,,,1,0
101,217.24CPD-583094,*166.5225095830500,-58.68182809,2.0662,,,,,,9.601,9.498,9.463,9.500816,9.393,,,14,0
102,217.69Cl*NGC3532FERN32,*166.3016155474900,-58.69748078,0.3089,-13.95,-0.000047,-13.95,,,,,,11.671094,,,,2,0
103,218.342MASSJ11055632-5839266,*166.4846839386400,-58.65738845,0.1936,,,,,,,,,15.886739,,,,1,0
104,218.59[CLH2011b]170502,*166.5175749818400,-58.67605165,0.2571,-36.78,-0.000123,-36.78,,,16.677,15.442,14.728,15.000167,14.047,,,1,0
105,221.48Cl*NGC3532FERN117,*166.4583819988200,-58.64909255,1.2557,12.56,0.000042,12.56,,,,,,12.597296,,,,2,0
106,222.07[CLH2011b]196971,*166.3577636412100,-58.76024427,0.2076,10.36,0.000035,10.36,,,17.513,16.093,15.295,15.554563,14.5,,,1,0
107,225.75[CLH2011b]177907,*166.4741983204600,-58.6515495,0.1925,-17.88,-0.00006,-17.88,,,16.774,15.772,15.09,15.366039,14.391,,,1,0
108,226.71CD-573700,*166.4691115130200,-58.64989847,2.1276,,,,,,10.505,10.346,10.282,10.347827,10.185,A2V,,14,0
109,228.13CPD-583069,*166.3996357456900,-58.76941669,1.8349,,,,,,9.031,8.952,8.869,8.973718,8.826,A1V,,11,0
110,229.35Cl*NGC3532FERN10,*166.4552288901200,-58.7671508,2.091,4.79,0.000016,4.79,,,12.757,12.271,11.978,12.184675,11.71,,,6,0
111,231.50CPD-583054,*166.31454-58.743,6,,,,,,,10.9,,,,,,,1,0
112,232.22Cl*NGC3532FERN90,*166.5361681277400,-58.72427805,2.0426,,,,,,12.41,11.78,,11.748798,,,,8,0
113,232.542MASSJ11052185-5845287,*166.3410858315700,-58.75798409,2.0595,,,,,,,,,17.870281,,,,5,0
114,232.88Cl*NGC3532FERN99,*166.5379123325300,-58.69194671,1.0185,22.6,0.000075,22.6,,,13.721,13.188,12.849,13.058891,12.518,,,2,0
115,233.30Cl*NGC3532FERN33,*166.2919010713500,-58.70632068,0.425,-35.65,-0.000119,-35.65,,,14.45,13.07,12.31,12.154571,,,,1,0
116,234.352MASSJ11051509-5844356,*166.3129063336700,-58.74321751,1.1455,,,,,,,,,10.837951,,,,1,0
117,234.48CPD-583099B,*166.5403513630500,-58.69600495,2.0994,,,,,,9.951,9.827,9.763,9.829727,9.684,,,7,0
118,237.00NGC353290,*166.3429408513700,-58.65313914,2.0685,6.11,0.00002,6.11,,,11.773,11.281,10.993,11.179076,10.677,,,5,0
119,237.672MASSJ11051438-5844332,*166.3099474902200,-58.74256816,2.0703,,,,,,,,,11.184182,,,,5,0
120,238.64Cl*NGC3532FERN9,*166.4482002293200,-58.77090436,2.1022,4.71,0.000016,4.71,,,12.887,12.381,12.079,12.283995,11.788,,,6,0
121,241.18CPD-583099A,*166.5442997884600,-58.69707851,1.9738,,,,,,8.872,8.797,8.774,8.807711,8.723,,,6,0
122,241.432MASSJ11060700-5840258,*166.5291983529400,-58.67383593,2.0903,5.37,0.000018,5.37,,,15.835,14.858,14.288,14.602309,13.814,,,5,0
123,241.832MASSJ11061106-5842141,*166.5458853360600,-58.70395766,1.8933,,,,,,,,,19.289762,,,,1,0
124,243.62Cl*NGC3532FERN34,*166.2866895770100,-58.70210056,0.6613,13.43,0.000045,13.43,,,14.206,13.563,13.166,13.40347,12.788,,,2,0
125,245.30Cl*NGC3532FERN14,*166.4876069499600,-58.76400268,0.2121,3.18,0.000011,3.18,,,,,,11.612195,,,,1,0
126,246.10[CLH2011b]208509,*166.2854973292100,-58.70113202,0.2075,70.74,0.000236,70.75,,,17.347,15.938,15.092,15.355097,14.272,,,1,0
127,252.552MASSJ11054153-5838118,*166.4230629450600,-58.63659217,0.3171,,,,,,,,,15.565408,,,,1,0
128,253.03[CLH2011b]190396,*166.3984197964100,-58.77631243,0.1897,-44.31,-0.000148,-44.31,,,17.486,16.057,15.232,15.508084,14.451,,,1,0
129,253.88Cl*NGC3532FERN118,*166.4516779403100,-58.6385335,0.8165,,,,,,,,,12.860555,,,,1,0
