#,dist(asec)identifier,typcoord1(ICRS,",J2000/2000)",plx,radvel,redshift,cz,,MagU,MagB,MagV,MagR,MagG,MagI,spec.type,,#bib#,not
560,545.33GaiaEDR35338709739850042752,*166.1306138183500,-58.67748511,2.1467,,,,,,,,,18.754107,,,,1,0
561,546.25CD-583782,*166.2499969820900,-58.83139011,2.1064,,,,,,9.885,9.792,9.742,9.86155,9.659,A2V,,22,0
562,547.412MASSJ11053256-5851283,*166.3856612136200,-58.85787337,2.6698,,,,,,,,,16.033188,,,,1,0
563,547.80Cl*NGC3532FERN217,*166.7043076729500,-58.73583668,2.1458,3.98,0.000013,3.98,,,13.555,12.967,12.622,12.854039,12.299,,,6,0
564,548.41Cl*NGC3532FERN224,*166.6868065565000,-58.64763497,0.3932,,,,,,,,,13.174471,,,,1,0
565,550.98CPD-574201A,*166.1931729379700,-58.60712035,2.078,,,,,,10.628,10.415,10.31,10.472854,10.273,B6/8,,10,0
566,551.062MASSJ11042970-5841233,*166.1238265834300,-58.68982874,2.0996,,,,,,,,,14.628786,,,,6,0
567,551.262MASSJ11052638-5851250,*166.3599476382800,-58.85694726,2.0961,3.08,0.00001,3.08,,,15.67,14.717,14.212,14.494283,13.746,,,6,0
568,551.49[CLH2011b]189559,*166.4036932827900,-58.85971152,0.2076,11.97,0.00004,11.97,,,17.727,16.287,15.473,15.742469,14.692,,,1,0
569,551.932MASSJ11042947-5841329,*166.1228244120400,-58.69249152,1.5252,,,,,,,,,15.823277,,,,1,0
570,552.212MASSJ11063178-5848416,*166.6324339558800,-58.81157653,2.0918,,,,,,,,,14.694779,,,,5,0
571,552.71[CLH2011b]142828,*166.6683561286500,-58.62641082,0.1917,14.1,0.000047,14.1,,,17.022,15.647,14.908,15.163306,14.18,,,1,0
572,552.862MASSJ11063769-5837029,*166.6570643098200,-58.61749076,0.3862,,,,,,,,,15.208083,,,,1,0
573,553.522MASSJ11051493-5851021,*166.3122744188300,-58.85058497,0.487,,,,,,,,,15.19666,,,,1,0
574,554.232MASSJ11053605-5851374,*166.4002346126800,-58.8603835,2.3325,7.85,0.000026,7.85,,,14.511,13.729,13.279,13.516454,12.833,,,1,0
575,554.96HD96609,EB*166.7134493425300,-58.70679211,2.0715,,,,,,8.635,8.614,8.59,8.61242,8.589,B9-A0V+A2V,,28,0
576,555.782MASSJ11055881-5833281,*166.4950273161900,-58.55776793,2.3995,,,,,,,,,18.861261,,,,1,0
577,555.90HD96610,*166.7060763800000,-58.74230577,2.1008,,,,,,8.692,8.684,8.664,8.688396,8.646,A0.5V,,19,0
578,556.13Cl*NGC3532FERN78,*166.5934337445800,-58.83102156,2.0793,11.71,0.000039,11.71,,,,,,12.028834,,,,7,0
579,556.642MASSJ11063079-5835534,*166.6283726346400,-58.59814019,2.1413,,,,,,,,,19.027657,,,,1,0
580,556.962MASSJ11065137-5842577,*166.7140120476600,-58.71605409,2.0663,,,,,,,,,14.92045,,,,4,0
581,557.22GaiaEDR35340166485341977600,*166.3523308876200,-58.55554884,2.068,,,,,,,,,17.685156,,,,3,0
582,557.72GaiaEDR35340149275448709760,*166.7119149349300,-58.68504803,2.0652,,,,,,,,,15.266774,,,,4,0
583,557.75HD96489,*166.5547623742100,-58.84406697,2.0587,,,,,,8.099,7.994,7.966,8.025112,7.87,A1V,,19,0
584,558.662MASSJ11055165-5833128,*166.4651948073400,-58.55355447,2.0955,5.07,0.000017,5.07,,,15.475,14.571,14.048,14.341302,13.604,,,5,0
585,558.69Cl*NGC3532FERN366,*166.7119837447900,-58.68345084,0.507,1.19,0.000004,1.19,,,13.8,12.03,11.5,11.012758,,,,1,0
586,558.992MASSJ11063895-5847434,*166.6622929436300,-58.79540383,2.1308,6.38,0.000021,6.38,,,18.318,16.874,16.006,16.298267,15.19,,,5,0
587,560.092MASSJ11062756-5835246,*166.6148582069400,-58.59016678,2.5164,,,,,,,,,15.128943,,,,1,0
588,561.472MASSJ11043971-5837170,*166.1655018327900,-58.62144204,1.2947,,,,,,,,,17.252523,,,,3,0
589,562.19Cl*NGC3532FERN394,*166.5276774384700,-58.56158465,2.0822,6.35,0.000021,6.35,,,14.396,13.675,13.253,13.521204,12.881,,,6,0
590,562.73Cl*NGC3532FERN271,*166.1166222873500,-58.7190561,2.0359,,,,,,,,,11.842313,,,,6,0
591,563.96NGC353297,*166.3653505254100,-58.86104836,2.0777,,,,,,11.753,11.386,11.182,11.320954,10.973,,,9,0
592,564.152MASSJ11043172-5845331,*166.1322156604600,-58.75920606,1.6955,-9.42,-0.000031,-9.42,,,14.085,13.484,13.143,13.360183,12.814,,,1,0
593,564.38[DDW2012]NGC3532-WDCJ1106-,5843WD?166.7151478115300,-58.73028244,1.4481,,,,,,20.31,20.2,,20.119917,,,,4,0
594,564.58Cl*NGC3532FERN228,*166.6797483148800,-58.62998206,0.5506,,,,,,,,,12.129231,,,,2,0
595,564.602MASSJ11045082-5835298,*166.2117522176700,-58.59164295,0.8792,-12.48,-0.000042,-12.48,,,18.773,17.304,16.411,16.702139,15.466,,,1,0
596,565.34CPD-574285,*166.6997268438400,-58.65179901,2.0385,,,,,,10.744,10.535,10.426,10.516502,10.326,,,11,0
597,566.01[CLH2011b]151805,*166.6211465221400,-58.8227535,0.2029,8.56,0.000029,8.56,,,17.184,15.808,15.078,15.115829,14.336,,,1,0
598,566.36GaiaEDR35338703692538867200,*166.1142295127800,-58.715553,2.1363,,,,,,,,,17.413937,,,,3,0
599,568.592MASSJ11044958-5835332,*166.2066533602600,-58.59261726,1.1505,,,,,,,,,13.5898,,,,1,0
600,568.782MASSJ11063509-5848378,*166.6462280149000,-58.81052648,2.1072,,,,,,,,,13.875498,,,,5,0
601,569.972MASSJ11050686-5833560,*166.2785877513400,-58.56559128,3.3454,3.96,0.000013,3.96,,,19.084,17.585,16.554,16.963177,15.468,,,1,0
602,570.20[CLH2011b]145659,*166.6546593533300,-58.80591069,0.2106,-9.74,-0.000032,-9.74,,,16.017,14.831,14.194,14.478977,13.561,,,1,0
603,570.94Cl*NGC3532FERN406,*166.2440913372400,-58.57594814,1.6842,,,,,,,,,13.32104,,,,2,0
604,571.02Cl*NGC3532FERN166,*166.1799776548500,-58.80710572,0.4282,5.75,0.000019,5.75,,,13.664,13.142,12.854,13.051395,12.526,,,2,0
605,573.392MASSJ11050497-5833599,*166.2707024764500,-58.56667592,2.0821,,,,,,,,,14.839286,,,,4,0
606,573.78Cl*NGC3532FERN187,*166.3730479104400,-58.86443912,0.6625,51.24,0.000171,51.24,,,,,,11.93508,,,,2,0
607,574.11Cl*NGC3532FERN167,*166.17258-58.803,64,,,,,,,,,,,,,,1,0
608,574.52Cl*NGC3532FERN396,*166.5104-58.5547,,,,,,,,,,,,,,,1,0
609,574.872MASSJ11052393-5851451,*166.3496984008500,-58.86253626,2.2271,,,,,,,,,14.423303,,,,1,0
610,575.63Cl*NGC3532FERN189,*166.4040531792600,-58.86643028,1.0302,8.49,0.000028,8.49,,,,,,11.208208,,,,1,0
611,576.00Cl*NGC3532FERN365,*166.7225051034000,-58.6879519,0.5358,,,,,,,,,12.703804,,,,1,0
612,576.382MASSJ11062020-5834206,*166.5842532658300,-58.57240199,2.2194,6.92,0.000023,6.92,,,20.604,19.084,18.023,17.951616,16.568,,,4,0
613,577.852MASSJ11054892-5832504,*166.4538417815800,-58.54732336,2.0679,,,,,,,,,13.765256,,,,5,0
614,578.12[FRP2000]29,X166.72583-58.706,39,,,,,,,,,,,,,,1,0
615,578.70Cl*NGC3532FERN209,*166.6686745735000,-58.80022153,1.0627,,,,,,,,,12.804416,,,,1,0
616,578.81GaiaEDR35338709739852384000,*166.1162344902100,-58.66830232,2.0487,,,,,,,,,16.112509,,,,4,0
617,579.41[CLH2011b]216081,*166.2347893243200,-58.83709911,0.3714,0.2,0.000001,0.2,,,16.75,15.71,15.13,15.343586,14.538,,,1,0
618,579.77[S2000d]NGC35323,X166.1271-58.6494,,,,,,,,,,,,,,,1,0
619,580.30GaiaEDR35340163328583404416,*166.6565286964100,-58.60460716,2.1158,,,,,,,,,17.549616,,,,3,0
620,580.382MASSJ11062101-5850288,*166.5876300370800,-58.84133344,1.7494,-12.36,-0.000041,-12.36,,,20.88,19.365,18.307,18.268847,16.921,,,1,0
621,580.972MASSJ11064531-5847054,*166.6887742891400,-58.78484849,2.0363,4.69,0.000016,4.69,,,17.773,16.432,15.63,15.950494,14.919,,,5,0
622,581.30Cl*NGC3532FERN172,*166.2028038192500,-58.82403471,0.469,6.6,0.000022,6.6,,,,,,12.609324,,,,1,0
623,582.032MASSJ11053668-5832425,*166.4028477971700,-58.54515056,1.3001,72.67,0.000242,72.68,,,15.161,14.381,13.912,14.193482,13.491,,,1,0
624,582.17[CLH2011b]146178,*166.6518956776000,-58.81281762,0.1323,-17.86,-0.00006,-17.86,,,17.849,16.392,15.624,15.890902,14.855,,,1,0
625,582.282MASSJ11043764-5837040,*166.1568462618000,-58.61777673,2.1198,,,,,,,,,14.970654,,,,5,0
626,582.52GaiaEDR35340149241088926720,*166.7281889175800,-58.70787144,2.0526,,,,,,,,,15.244215,,,,4,0
627,583.40Cl*NGC3532FERN223,*166.7069343190700,-58.64757759,0.7381,,,,,,,,11.73,11.659376,,,,1,0
628,583.632MASSJ11043031-5845592,*166.1263209115100,-58.76647885,2.2839,5.88,0.00002,5.88,,,20.136,18.694,17.661,17.776592,16.341,,,2,0
629,586.46Cl*NGC3532FERN354,*166.7193361021200,-58.74971032,1.5729,-13.76,-0.000046,-13.76,,,12.76,12.42,,12.230661,,,,5,0
630,588.10NGC3532151,*166.6054776976300,-58.57615675,2.0789,5.15,0.000017,5.15,,,11.782,11.332,11.038,11.258071,10.774,,,9,0
631,588.14Cl*NGC3532FERN210,*166.6590052860000,-58.81103923,0.3585,45.83,0.000153,45.83,,,,,,12.950028,,,,1,0
632,589.21Cl*NGC3532FERN190,*166.3991632928500,-58.87008445,2.0419,0.2,0.000001,0.2,,,,,,12.039777,,,,6,0
633,589.63Cl*NGC3532FERN389,*166.5762785610100,-58.56551161,1.0702,3.03,0.00001,3.03,,,,,,10.655555,,,,2,0
634,589.74HD96341,*166.3595891428700,-58.5455672,2.0451,14.2,0.000047,14.2,,9.6,9.543,9.525,9.475,9.542676,9.479,A0/2V,,20,0
635,590.13Cl*NGC3532FERN191,*166.4064970719600,-58.87050556,0.3279,,,,,,,,,12.123158,,,,1,0
636,590.932MASSJ11055586-5852019,*166.4827522969700,-58.86720193,0.3486,,,,,,,,,15.091413,,,,1,0
637,591.95[CLH2011b]133760,*166.7185835402600,-58.75646418,0.2287,25.61,0.000085,25.61,,,16.771,15.41,14.668,14.958084,13.973,,,1,0
638,593.522MASSJ11045164-5834458,*166.2152429360600,-58.57940754,2.0263,7.24,0.000024,7.24,,,17.447,16.151,15.379,15.710637,14.708,,,5,0
639,594.26GaiaEDR35338654931734962944,*166.2798867963100,-58.85573912,1.7749,,,,,,,,,19.137972,,,,1,0
640,594.312MASSJ11050715-5851206,mul166.27983200-58.,85574300,,,,,,,,,,,,,,1,0
641,594.352MASSJ11043679-5847578,*166.1533021947700,-58.79936996,2.0787,,,,,,,,,13.437493,,,,4,0
642,594.62GaiaEDR35338654936044771456,*166.2787335038300,-58.85556522,1.6045,,,,,,,,,20.257452,,,,0,0
643,597.30CPD-583007,*166.0993180421900,-58.72595292,2.091,,,,,,10.394,10.25,10.179,10.264268,10.128,,,10,0
644,597.302MASSJ11045289-5834332,*166.2204098488900,-58.5759081,0.273,-0.67,-0.000002,-0.67,,,16.459,15.413,14.727,14.995723,14.036,,,1,0
645,597.31[CLH2011b]163946,*166.5549862969300,-58.5571832,0.1633,1.56,0.000005,1.56,,,17.815,16.333,15.445,15.708411,14.601,,,1,0
646,597.68[CLH2011b]179330,*166.4663786512300,-58.87067682,0.1135,12.99,0.000043,12.99,,,17.446,16.031,15.254,15.527523,14.522,,,1,0
647,597.912MASSJ11044901-5834575,*166.2042843649100,-58.58268274,0.0552,38.21,0.000127,38.21,,,18.22,16.871,16.053,16.515713,15.266,,,1,0
648,598.08HD96413,*166.4544293167900,-58.5417008,2.1097,4,0.000013,4,,,9.161,9.174,9.145,9.203244,9.163,A2,,26,0
649,598.89Cl*NGC3532FERN393,*166.5537-58.5564,,,,,,,,,,,,,,,1,0
650,599.61NGC3532144,*166.5666687290700,-58.55954285,3.9491,10.48,0.000035,10.48,,,12.28,11.52,11.41,11.443978,,,,5,0
651,599.972MASSJ11061277-5833213,*166.5532174991800,-58.55592792,1.4156,,,,,,,,,13.253236,,,,1,0
652,600.262MASSJ11044527-5835221,*166.1886605857800,-58.58949765,0.5375,11.95,0.00004,11.95,,,16.152,15.175,14.604,14.888587,13.996,,,1,0
653,600.46CPD-583127,*166.6919521008700,-58.79283429,1.2746,,,,,,11.174,10.807,10.607,10.836938,10.409,,,5,0
654,600.63CPD-583125,*166.6796467590900,-58.80273237,2.0811,,,,,,10.319,10.14,10.063,10.156218,9.975,,,10,0
655,602.32NGC353231,*166.0964349518400,-58.68901224,2.0766,2.12,0.000007,2.12,,,11.733,11.381,11.187,11.317989,10.988,B8/9,,11,0
656,602.62[CLH2011b]136896,*166.7010333560900,-58.62821327,2.0967,4.8,0.000016,4.8,,,15.487,14.561,14.068,14.353413,13.627,,,5,0
657,603.34Cl*NGC3532RK1,WD*166.3993039877800,-58.8740182,2.4265,,,,,,,,,19.299112,,DA,,11,0
658,605.08NGC3532171,*166.7124829387200,-58.63888135,2.1255,16.97,0.000057,16.97,,,11.8,11.364,11.109,11.287692,10.853,,,9,0
659,606.20CPD-583050,**166.282555600-58,0.8600406,,,,,,,9.603,9.523,9.523,9.6228,9.461,,,10,0
660,606.882MASSJ11065613-5840173,*166.7339153759600,-58.67150023,0.3292,25.32,0.000084,25.32,,,17.058,15.727,15.005,15.310664,14.34,,,1,0
661,606.93Cl*NGC3532FERN407,*166.2260986837600,-58.57033226,1.3951,,,,,,13.05,12.65,12.58,12.545778,,,,1,0
662,606.98Cl*NGC3532FERN230,*166.6972909684800,-58.62222549,2.0168,15.72,0.000052,15.72,,,13.403,12.808,12.485,12.705493,12.16,,,2,0
663,607.37CPD-574289,*166.7334172815800,-58.66969654,2.1177,,,,,,11.013,10.77,10.631,10.742576,10.508,,,9,0
664,607.532MASSJ11061128-5833077,*166.5470199959900,-58.55215205,2.2799,,,,,,,,,17.973309,,,,5,0
665,607.61GaiaEDR35340166008643129984,*166.4466309429700,-58.53860811,2.003,,,,,,,,,17.625574,,,,4,0
666,607.692MASSJ11065791-5841574,*166.7413077236400,-58.69930388,2.0889,4.7,0.000016,4.7,,,15.317,14.453,13.951,14.210431,13.516,,,5,0
667,607.82[CLH2011b]194785,*166.3714545859400,-58.53947764,2.0071,5.36,0.000018,5.36,,,15.035,14.218,13.747,14.010244,13.326,,,5,0
668,608.08Cl*NGC3532FERN402,**166.371708600-58,0.5393864,,,,,,,,,13.3,,,,,1,0
669,608.15GaiaEDR35340165969945747968,*166.4789536581000,-58.54087731,2.0584,,,,,,,,,17.53793,,,,3,0
670,608.51CPD-583051,*166.3009868872900,-58.86470801,0.8763,-9.41,-0.000031,-9.41,,,10.598,9.483,8.942,9.212878,8.429,,,4,0
671,608.51GaiaEDR35340166146043520000,*166.3720162911900,-58.53924196,2.0753,,,,,,,,,14.280787,,,,3,0
672,608.672MASSJ11054235-5832157,*166.4264758223900,-58.53766973,2.0965,,,,,,,,,15.134775,,,,6,0
673,608.81[CLH2011b]171499,*166.5123838327800,-58.8683416,0.1761,83.86,0.00028,83.87,,,17.894,16.388,15.549,15.814908,14.751,,,1,0
674,609.062MASSJ11064450-5836408,*166.6854133881300,-58.61135938,2.1016,10.48,0.000035,10.48,,,18.186,16.813,15.991,16.135401,15.143,,,5,0
675,609.87Cl*NGC3532BUT14,*166.0992785008600,-58.66805697,0.3127,,,,,,18.378,17.484,16.911,17.180414,16.333,,,2,0
676,609.95Cl*NGC3532FERN185,*166.3358369069000,-58.8708395,0.6715,,,,,,,,,13.225073,,,,1,0
677,610.152MASSJ11044230-5835317,*166.1763659335000,-58.59223268,2.3198,,,,,,,,,19.1068,,,,1,0
678,610.31[CLH2011b]187707,*166.4145931693300,-58.53714079,0.5497,-42.39,-0.000141,-42.39,,,17.553,16.114,15.212,15.468574,14.367,,,1,0
679,611.69[CLH2011b]180842,*166.4573401510400,-58.87526746,0.1781,27.13,0.000091,27.13,,,17.372,16.125,15.416,15.703112,14.724,,,1,0
680,613.43Cl*NGC3532FERN173,*166.1861619193000,-58.82811783,2.0901,7.71,0.000026,7.71,,,12.78,12.266,11.997,12.195616,11.724,,,6,0
681,613.70IRAS11048-5826,*166.7444436770600,-58.71570631,0.162,,,,,,,,,12.222014,,M8,,1,0
682,614.852MASSJ11061010-5851525,*166.5421067818400,-58.86460185,0.5521,,,,,,,,,14.739198,,,,1,0
683,617.10Cl*NGC3532FERN355,*166.7359728372700,-58.75038293,2.1218,2.83,0.000009,2.83,,,13.505,12.931,12.58,12.803027,12.256,,,6,0
684,617.402MASSJ11052990-5832117,*166.3746617515100,-58.5365679,2.1556,,,,,,,,,18.287313,,,,1,0
685,617.58Cl*NGC3532FERN169,*166.1483294446300,-58.80695904,2.0869,,,,,,12.71,12.25,,12.34267,,,,8,0
686,617.76Cl*NGC3532BUT19,*166.09858-58.660,69,,,,,,,17.883,16.584,15.838,,15.122,,,2,0
687,618.042MASSJ11051969-5852216,*166.3321179146300,-58.87265964,2.0626,,,,,,,,,14.768438,,,,5,0
688,619.03Cl*NGC3532FERN168,*166.1414080300900,-58.80249,0.8279,,,,,,,,,12.177487,,,,1,0
689,619.47[CLH2011b]171990,*166.5081273429500,-58.54131221,2.0983,5.47,0.000018,5.47,,,16.796,15.636,14.943,15.264498,14.361,,,5,0
690,620.442MASSJ11065449-5838460,*166.7270741281800,-58.64614991,2.2082,8.21,0.000027,8.21,,,14.678,13.916,13.476,13.725612,13.06,,,4,0
691,621.322MASSJ11042351-5845212,*166.0979788064300,-58.75590397,1.8858,4.64,0.000015,4.64,,,18.825,17.366,16.392,16.540638,15.368,,,2,0
692,621.35CPD-583095,*166.5272317203500,-58.86947574,2.0756,,,,,11.09,10.974,10.719,10.596,10.7007,10.45,,,11,0
693,622.172MASSJ11050893-5851574,*166.2872473572900,-58.86594853,0.1752,,,,,,,,,15.07536,,,,1,0
694,622.74[CLH2011b]134451,*166.7151778852000,-58.78370886,0.142,44.58,0.000149,44.58,,,17.274,15.933,15.167,15.422307,14.403,,,1,0
695,623.76CD-583761,*166.1103126818600,-58.77559042,2.1315,,,,,,11.002,10.767,10.637,10.74935,10.517,,,10,0
696,624.27GaiaEDR35338665484516615808,*166.2459000043100,-58.55777453,2.0739,,,,,,,,,17.69289,,,,3,0
697,624.43Cl*NGC3532FERN234,*166.6721981433700,-58.59525525,0.2605,,,,,,,,,13.041959,,,,1,0
698,624.58Cl*NGC3532FERN372,*166.7189363131900,-58.63319875,0.415,,,,,,,,,13.096617,,,,1,0
699,624.66CPD-583133,*166.7283790454700,-58.76944027,2.0754,,,,,,9.803,9.71,9.663,9.717217,9.621,A1V,,14,0
700,624.752MASSJ11043913-5835380,*166.1630898470000,-58.59391733,2.0416,,,,,,,,,17.805698,,,,5,0
701,625.272MASSJ11065444-5838316,*166.7268357135700,-58.64214761,2.1065,,,,,,,,,14.149529,,,,5,0
702,625.46Cl*NGC3532FERN174,*166.1670894605300,-58.8225815,1.0753,0.97,0.000003,0.97,,,,,,11.92439,,,,2,0
703,625.63Cl*NGC3532FERN233,*166.6799493745900,-58.59969553,2.0831,54.17,0.000181,54.17,,,,,,11.437959,,,,2,0
704,625.77IRAS11022-5829,FIR166.0947-58.7544,,,,,,,,,,,,,,,0,0
705,626.01CPD-583015,*166.1467884526400,-58.8098445,2.1329,,,,,,10.339,10.176,10.151,10.223949,10.104,A2/3V,,16,0
706,627.26Cl*NGC3532FERN264,*166.1517573982800,-58.60004789,1.559,17.1,0.000057,17.1,,,,,,12.033926,,,,2,0
707,627.802MASSJ11051887-5852300,*166.3286797535000,-58.87499121,2.0789,5.38,0.000018,5.38,,,15.894,14.915,14.344,14.652389,13.882,,,5,0
708,629.49CPD-574188,*166.0875104232500,-58.67041535,0.7377,,,,,,11.248,11.133,11.055,11.120376,10.978,B7/8,,7,0
709,631.36Cl*NGC3532FERN235,*166.6707202845000,-58.5913998,0.5423,-14.29,-0.000048,-14.29,,,,,,12.82127,,,,1,0
710,631.64CPD-583139,*166.7543172719600,-58.71223124,2.0475,,,,,,9.731,9.594,9.498,9.582178,9.43,A2V,,14,0
711,631.982MASSJ11062339-5833305,*166.5975168507800,-58.55849155,2.1054,,,,,,,,,15.407734,,,,5,0
712,632.39Cl*NGC3532FERN177,*166.1868353602100,-58.83573713,0.642,,,,,,,,,12.624609,,,,1,0
713,633.07Cl*NGC3532BUT20,*166.0785855909700,-58.71642633,0.4406,,,,,,18.323,17.318,16.716,16.989422,16.144,,,2,0
714,633.462MASSJ11041937-5843475,*166.0807495912800,-58.72987964,0.3801,-41.47,-0.000138,-41.47,,,17.304,15.973,15.19,15.45646,14.427,,,1,0
715,633.59Cl*NGC3532FERN348,*166.7253869167800,-58.77957115,0.7968,,,,,,,,,13.185849,,,,1,0
716,633.882MASSJ11045391-5851070,*166.2246539526100,-58.85191847,1.4433,7.46,0.000025,7.46,,,17.485,16.143,15.36,15.627964,14.664,,,1,0
717,633.922MASSJ11062261-5851244,*166.5942179967200,-58.85679709,0.2023,,,,,,,,,15.00811,,,,1,0
718,633.95GaiaEDR35340166180403323392,*166.3928980579900,-58.53100532,,,,,,,,,,20.717815,,,,0,0
719,634.602MASSJ11053410-5831510,mul166.39210300-58.,53085300,,,,,,,,,,,,,,1,0
720,634.86GaiaEDR35340166176108041472,*166.3919586140600,-58.53078587,1.887,,,,,,,,,19.253134,,,,1,0
721,635.052MASSJ11055817-5832050,*166.4923749441700,-58.53472475,1.3871,117.66,0.000393,117.68,,,19.249,17.779,16.808,16.970007,15.703,,,1,0
722,635.16Cl*NGC3532FERN408,*166.2062-58.5683,,,,,,,,,,,,,,,1,0
723,635.372MASSJ11054602-5831503,*166.4417185008100,-58.53065863,2.019,,,,,,,,,19.074059,,,,1,0
724,636.232MASSJ11041904-5841013,*166.0794090860100,-58.68371975,2.1027,5.13,0.000017,5.13,,,14.825,14.058,13.612,13.874826,13.214,,,4,0
725,637.94Cl*NGC3532FERN195,*166.4855211070300,-58.88024496,0.8489,74.88,0.00025,74.89,,,,,,11.38632,,,,1,0
726,638.98Cl*NGC3532FERN387,*166.5859058596300,-58.55258051,2.1111,6.05,0.00002,6.05,,,13.17,12.517,12.148,12.413676,11.789,,,7,0
727,639.12HD96192,*166.1612341539900,-58.82488282,1.9924,,,,,,9.791,9.663,9.617,9.729494,9.558,A,,16,0
728,639.18[CLH2011b]154686,*166.6050133279800,-58.55863729,0.2032,30.07,0.0001,30.07,,,17.631,16.149,15.313,15.616179,14.551,,,1,0
729,639.40Cl*NGC3532FERN206,*166.6862875284100,-58.81618526,0.2487,,,,,,,,,13.030042,,,,1,0
730,640.05[S2000d]NGC353234,X166.6408-58.5725,,,,,,,,,,,,,,,1,0
731,640.67Cl*NGC3532FERN176,*166.1648451469300,-58.82758522,2.0621,5.79,0.000019,5.79,,,12.803,12.307,12.022,12.228724,11.751,,,6,0
732,641.12NGC3532102,*166.4026317623900,-58.88460663,2.0778,14.77,0.000049,14.77,,,11.94,11.562,11.313,11.478457,11.096,,,10,0
733,641.212MASSJ11041769-5842224,*166.0737586425200,-58.70623174,1.4068,42.94,0.000143,42.94,,,14.679,13.986,13.579,13.821965,13.215,,,1,0
734,641.302MASSJ11065526-5846448,*166.7302732600100,-58.77915142,1.9092,7.59,0.000025,7.59,,,15.863,14.872,14.295,14.583181,13.739,,,1,0
735,644.55Cl*NGC3532FERN395,*166.5065030662700,-58.53384529,2.0485,,,,,,,,,11.840057,,,,8,0
736,646.082MASSJ11054394-5853093,*166.4330872436700,-58.88593041,2.0131,,,,,,,,,15.600225,,,,5,0
737,646.52[CLH2011b]184479,*166.4352294056600,-58.88599775,0.1965,24.51,0.000082,24.51,,,16.757,15.498,14.785,15.053696,14.096,,,1,0
738,647.872MASSJ11055465-5831463,*166.4776809211100,-58.52952899,2.0826,,,,,,,,,15.515407,,,,6,0
739,648.85Cl*NGC3532FERN358,*166.7575280587000,-58.74085977,0.4144,-26.09,-0.000087,-26.09,,,,,,11.512009,,,,2,0
740,651.57Cl*NGC3532FERN200,*166.5833177444500,-58.8657237,1.6746,0.06,0,0.06,,,,,,12.664707,,,,2,0
741,651.812MASSJ11055246-5831396,*166.4685890529000,-58.52763839,2.2391,,,,,,,,,18.097145,,,,1,0
742,652.45[CLH2011b]163548,*166.5586945989100,-58.87228775,0.2352,30.31,0.000101,30.31,,,17.405,16.201,15.518,15.809195,14.881,,,1,0
743,652.73NGC3532147,*166.57412-58.544,94,,,,,,,11.61,10.49,,,,,,1,0
744,652.75Cl*NGC3532FERN392,*166.5741378670500,-58.5449405,0.4625,-6.02,-0.00002,-6.02,,,,,,10.136473,,,,1,0
745,652.79CPD-583118,*166.6427237330700,-58.84504441,2.0895,,,,,,11.399,11.076,10.907,11.053958,10.759,,,10,0
746,652.92CPD-583136,*166.7488431247800,-58.76298693,2.0595,,,,,,10.153,10.032,9.963,10.036416,9.908,,,8,0
747,653.00[CLH2011b]232182,*166.1226134527400,-58.80484552,1.4683,15.14,0.000051,15.14,,,14.549,13.817,13.434,13.692523,13.079,,,1,0
748,653.932MASSJ11050669-5832239,*166.2779423620200,-58.53999834,0.8119,,,,,,,,,18.495249,,,,1,0
749,655.35HD96637,*166.7463709325800,-58.64535629,2.1097,,,,,,9.979,9.776,9.672,9.762612,9.569,A2,,13,0
750,655.802MASSJ11043906-5849574,*166.1628189015600,-58.83261241,2.105,,,,,,,,,15.109249,,,,5,0
751,656.21[CLH2011b]192698,*166.3842446370500,-58.88817228,0.1077,14.19,0.000047,14.19,,,17.435,16.101,15.342,15.594311,14.589,,,1,0
752,656.512MASSJ11044283-5834224,*166.1784755211500,-58.57291021,0.3295,,,,,,,,,15.270656,,,,1,0
753,656.51[CLH2011b]142948,*166.6694857762800,-58.8334544,0.1571,16.67,0.000056,16.67,,,17.126,15.682,14.917,15.16293,14.154,,,1,0
754,657.002MASSJ11061619-5852177,*166.5674762336400,-58.87158726,2.323,,,,,,,,,14.421631,,,,1,0
755,657.65Cl*NGC3532FERN384,*166.6357362328300,-58.56393822,2.1558,5.26,0.000018,5.26,,,,,,13.209289,,,,7,0
756,658.00Cl*NGC3532FERN391,*166.579712-58.54,4797,,,,,,,,,,,,,,1,0
757,658.69GaiaEDR35338703967416289280,*166.0652106054700,-58.69479039,2.1132,,,,,,,,,17.662025,,,,4,0
758,659.02HD96620,*166.7274408556300,-58.79338227,2.1273,-0.6,-0.000002,-0.6,,,7.395,7.358,7.353,7.372777,7.319,A0IV,,34,0
759,660.472MASSJ11052376-5831357,*166.3490703719500,-58.52661023,2.3081,,,,,,,,,18.511816,,,,1,0
760,660.66Cl*NGC3532FERN268,*166.0743824338100,-58.66162645,3.2265,,,,,,14.24,13.22,,13.454927,,,,4,0
761,661.072MASSJ11064170-5834512,*166.6737761696700,-58.58088477,2.0151,-3.74,-0.000012,-3.74,,,16.283,15.187,14.561,14.878064,14.008,,,1,0
762,661.18Cl*NGC3532FERN198,*166.5468903506400,-58.87748542,0.3369,,,,,,,,,12.975101,,,,1,0
763,662.00HD96226,*166.2257598759300,-58.55194562,1.8214,-5.6,-0.000019,-5.6,,,7.874,7.992,8.023,8.025348,8.068,B8,,24,0
764,662.52CPD-574288,*166.7322934522700,-58.62343706,2.1178,,,,,,10.843,10.603,10.491,10.603888,10.349,,,11,0
