source_id,ra,dec,parallax,pmra,pmdec,radial_velocity
5340161949856399104,166.55294011774393,-58.67144175909218,-0.3975654747049545,-7.236460070798521,1.6082235162906864,
5340161949860141184,166.54676292592103,-58.66838388711392,0.12820075842748135,-5.291100603369609,1.7452579393331813,
5340161949878270592,166.55709199931073,-58.67138142360842,0.0979081785398508,-6.155020556724089,-0.929895908729764,
5340161954154446976,166.562170854535,-58.67776736310229,0.1361900852696622,-6.48101089289596,2.532759493763857,
5340161954154467712,166.5599587737228,-58.67085398846261,0.35887853957450033,-4.237395666863808,0.9483245999415097,
5340161954154467968,166.5501047526938,-58.667146096911075,0.1411634992322803,-5.936711765388065,1.7348955473615622,
5340161954154448128,166.55779818717107,-58.67568494882967,-0.5271178153809816,-5.351195613347433,1.8159324051641925,
5340161954154448896,166.56651137776814,-58.678267687359835,0.36604634093197275,-5.187015584843744,1.3735957956558136,
5340161954154449536,166.5531885040461,-58.67331026506648,-0.004637261584319272,-5.92477796913809,2.072250977076812,
5340161954154455424,166.56368211044062,-58.67531324367156,-0.06079263064403749,-4.461919124794196,1.8239011684426312,
5340161954154455552,166.5534621899732,-58.67147784838917,0.1703797523866611,-6.20822122494301,1.5734222163667573,
5340161954154458112,166.55366044749994,-58.67007240470595,0.35975541512013715,-5.6958021241116095,2.0244604252288507,
5340161954154458240,166.55351300416237,-58.67076879057888,0.0013617092135446637,-5.481839748707642,1.1463288729218264,
5340161954154460416,166.54689657852217,-58.66790439458037,-0.041942225211239866,-3.749359064768988,1.7430426019379408,
5340161954154462720,166.56333134984416,-58.67335218430284,1.2298121027632627,-5.240916283426693,2.7040399925059466,
5340161954154463360,166.5526020765981,-58.66924550831612,-0.12794369994011578,-3.745333303962699,0.6566897388979291,
5340161954154470272,166.55210481975354,-58.66740426317934,0.08243346027678612,-4.671618851294993,1.9978265254373908,
5340161954154472320,166.5557235996867,-58.66810532908998,0.33030795681727604,-6.211970891216537,2.5624766706497253,
5340161954154476544,166.5481509804377,-58.66398611425903,,,,
5340161954154476672,166.54814966012756,-58.66436136476273,0.1332908395430158,-5.421014525637526,1.6231305689266566,
5340161954154480768,166.55696734916077,-58.66669283952866,0.0441663174175957,-10.271523976782753,2.713774587304256,
5340161954154485376,166.54961139444086,-58.662888902163765,-0.1272099972188397,-3.4819106866523164,0.6857354531837059,
5340161954154494336,166.5501228633478,-58.662268386965884,,,,
5340161954155876864,166.5489859233405,-58.66996047598361,-0.4498077753046406,-5.600033594039154,1.922500560895217,
5340161954155895296,166.55480185771816,-58.673252573331084,-1.0780513577298192,-9.122238845222572,0.050305075346061226,
